Dataset,Algorithm,Support,Run-time (s),Memory (KiB),Nb Motifs,Supports motifs,Motifs détectés
Air Quality,PSO-GRAANK,0.6,996.4648690223694,63.4,3,"[0.649, 0.601, 0.601]","[['CO(GT)+', 'PT08.S1(CO)+', 'PT08.S2(NMHC)+'], ['CO(GT)+', 'C6H6(GT)+', 'NOx(GT)+'], ['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+']]"
Air Quality,PRS-GRAANK,0.6,148.30264163017273,42.7,2,"[0.717, 0.601]","[['CO(GT)+', 'PT08.S2(NMHC)+'], ['CO(GT)+', 'C6H6(GT)+', 'NOx(GT)+']]"
Air Quality,GA-GRAANK,0.6,888.9294285774231,72.9,4,"[0.64, 0.601, 0.601, 0.649]","[['CO(GT)+', 'PT08.S2(NMHC)+', 'PT08.S5(O3)+'], ['CO(GT)+', 'C6H6(GT)+', 'NOx(GT)+'], ['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+', 'NOx(GT)+'], ['CO(GT)+', 'PT08.S1(CO)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+']]"
Air Quality,PRS-GRAANK,0.7,124.56837177276611,42.4,2,"[0.705, 0.717]","[['CO(GT)+', 'PT08.S1(CO)+'], ['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+']]"
Air Quality,GA-GRAANK,0.7,912.2421073913574,72.4,2,"[0.717, 0.714]","[['CO(GT)+', 'PT08.S2(NMHC)+'], ['CO(GT)+', 'NOx(GT)+', 'NO2(GT)+']]"
Air Quality,PSO-GRAANK,0.7,983.6833243370056,60.4,2,"[0.717, 0.705]","[['CO(GT)+', 'C6H6(GT)+', 'PT08.S2(NMHC)+'], ['CO(GT)+', 'PT08.S1(CO)+']]"
Air Quality,GA-GRAANK,0.8,1002.9075663089752,67.0,0,[],[]
Air Quality,PRS-GRAANK,0.8,130.2164556980133,42.2,0,[],[]
Air Quality,PSO-GRAANK,0.8,929.4390416145325,60.9,0,[],[]
Air Quality,PRS-GRAANK,0.9,74.52582311630249,41.5,0,[],[]
Air Quality,PSO-GRAANK,0.9,922.934965133667,61.1,0,[],[]
Air Quality,GA-GRAANK,0.9,914.9215497970581,67.0,0,[],[]
HCV,GRAANK,0.3,9.638911962509155,50.3642578125,150,0,
HCV,GRAANK,0.34,9.240743398666382,39.0673828125,120,0,
